Ozark,2017,"Crime, Drama, Thriller",8.4,10,154953,(2017– )
Newton,2017,Drama,7.7,9,14988,(2017)
Deadpool 2,2018,"Action, Adventure, Comedy",7.7,9,451646,(2018)
Zeitgeist: Moving Forward,2011,Documentary,8.2,10,17256,(2011)
Zeitgeist: Addendum,2008,"Documentary, History, War",8.3,10,17601,(2008 Video)
Zeitgeist,2007,"Documentary, History",8.1,10,47487,(2007 Video)
Sanju,2018,"Biography, Drama",7.8,10,44878,(2018)
Moneyball,2011,"Biography, Drama, Sport",7.6,9,347923,(2011)
Raazi,2018,"Action, Drama, Thriller",7.8,9,22778,(2018)
Omerta,2017,"Action, Biography, Crime",7,9,704,(2017)
A Quiet Place,2018,"Drama, Horror, Sci-Fi",7.5,8,381721,(2018)
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",8.5,9,777115,(2018)
Hindi Medium,2017,"Comedy, Drama",7.8,9,20900,(2017)
10 Cloverfield Lane,2016,"Drama, Horror, Mystery",7.2,8,279270,(2016)
Darkest Hour,2017,"Biography, Drama, Family",7.4,10,161266,(2017)
Sully,2016,"Biography, Drama",7.4,8,224942,(2016)
Red Sparrow,2018,"Action, Drama, Thriller",6.6,9,156142,(2018)
RocknRolla,2008,"Action, Crime, Thriller",7.3,8,228942,(2008)
Breathe,2017,"Biography, Drama, Romance",7.1,9,17428,(I) (2017)
Call Me by Your Name,2017,"Drama, Romance",7.9,10,192155,(2017)
Black Panther,2018,"Action, Adventure, Sci-Fi",7.3,10,582738,(2018)
The Adjustment Bureau,2011,"Romance, Sci-Fi, Thriller",7,8,236834,(2011)
The Shape of Water,2017,"Adventure, Drama, Fantasy",7.3,9,350771,(2017)
Sicario,2015,"Action, Crime, Drama",7.6,9,354568,(2015)
Saving Private Ryan,1998,"Drama, War",8.6,8,1187476,(1998)
Thor: Ragnarok,2017,"Action, Adventure, Comedy",7.9,7,552701,(2017)
Shubh Mangal Savdhan,2017,"Comedy, Romance",6.9,9,8053,(2017)
BoJack Horseman,2014,"Animation, Comedy, Drama",8.7,10,97260,(2014–2020)
Mr. Robot,2015,"Crime, Drama, Thriller",8.5,10,314762,(2015–2019)
Baby Driver,2017,"Action, Crime, Drama",7.6,8,411977,(2017)
Aashiqui 2,2013,"Drama, Music, Musical",7,2,25641,(2013)
Everest,2015,"Action, Adventure, Biography",7.1,8,190723,(2015)
Kingsman: The Golden Circle,2017,"Action, Adventure, Comedy",6.7,8,256884,(2017)
Spider-Man: Homecoming,2017,"Action, Adventure, Sci-Fi",7.4,9,485246,(2017)
The 100,2014,"Drama, Mystery, Sci-Fi",7.7,8,194729,(2014– )
The Flash,2014,"Action, Adventure, Drama",7.7,8,296478,(2014– )
Modern Family,2009,"Comedy, Drama, Romance",8.4,9,330143,(2009–2020)
Stranger Things,2016,"Drama, Fantasy, Horror",8.8,10,742273,(2016– )
Black Mirror,2011,"Drama, Sci-Fi, Thriller",8.8,10,403177,(2011– )
Detective Jagga,2017,"Action, Adventure, Comedy",6.5,9,8558,(2017)
The Dark Tower,2017,"Action, Adventure, Fantasy",5.6,7,121062,(2017)
American Made,2017,"Action, Biography, Comedy",7.2,8,150393,(2017)
Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",7,9,539845,(2017)
Justice League,2017,"Action, Adventure, Fantasy",6.4,8,363493,(2017)
M.S. Dhoni: The Untold Story,2016,"Biography, Drama, Sport",7.7,8,30692,(2016)
Raees,2017,"Action, Crime, Drama",6.8,9,38757,(2017)
What Happened to Monday,2017,"Action, Adventure, Crime",6.9,10,96313,(2017)
Dangal,2016,"Action, Biography, Drama",8.4,10,142879,(2016)
